median_household_income,total_population,median_age,state,zcta,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,year,area_name,county_name
65605,9504,39.0,PA,16412,16.1,29.8,37.7,5.4,95.0,0.7,2.6,0.0,1.7,4.9,68.4,2022,Edinboro,Erie
100867,10051,43.2,PA,16415,3.5,26.3,39.7,4.1,91.4,0.6,3.4,1.6,3.0,5.1,91.7,2022,Fairview,Erie
78021,8378,46.3,PA,16417,8.1,21.7,17.1,3.8,92.6,0.0,5.3,0.5,1.6,3.5,74.3,2022,Girard,Erie
72926,2431,49.5,PA,16421,14.2,15.7,0.0,0.9,96.6,0.1,0.4,0.1,2.8,2.2,62.1,2022,Lake City,Erie
77917,183,46.2,PA,16422,17.5,47.3,,0.0,87.4,0.0,0.0,6.6,6.0,12.3,100.0,2022,Harmonsburg,Crawford
70529,3783,44.8,PA,16423,9.5,11.4,15.1,5.3,90.1,0.8,4.6,0.4,4.1,3.9,90.0,2022,Lowville/Wattsburg,Erie
51800,4367,50.8,PA,16424,11.7,10.4,18.7,6.0,95.6,0.0,2.1,0.0,2.3,4.7,81.7,2022,Linesville,Crawford
77076,3401,47.0,PA,16426,12.2,14.3,4.5,5.0,95.2,0.1,0.0,0.0,4.7,7.7,81.2,2022,McKean,Erie
53500,201,46.3,PA,16427,12.4,4.8,8.7,2.4,96.5,0.0,1.0,0.0,2.5,7.9,72.6,2022,Mill Village,Erie
68591,12574,40.4,PA,16428,10.1,15.2,10.1,7.9,91.8,0.8,3.3,0.5,3.6,5.4,74.8,2022,North East,Erie
103000,174,57.0,PA,16430,8.6,16.9,0.0,0.0,97.1,0.0,0.0,0.0,2.9,0.0,85.7,2022,Platea,Erie
66111,4993,44.6,PA,16433,7.4,15.6,1.8,6.7,94.5,0.7,1.2,0.9,2.7,3.3,84.5,2022,Saegertown,Crawford
53897,3161,26.7,PA,16434,24.9,7.4,12.9,28.7,98.0,0.7,0.5,0.1,0.7,7.8,84.3,2022,Spartansburg,Crawford
53859,1640,48.3,PA,16435,15.5,8.4,19.6,7.2,95.7,0.6,1.0,0.3,2.4,6.9,78.9,2022,Springboro,Crawford
58679,7260,47.5,PA,16438,13.7,11.4,13.2,8.4,93.0,0.0,3.5,0.6,2.9,9.1,75.6,2022,Union City,Erie
69219,780,47.8,PA,16440,5.4,19.4,3.3,3.6,91.2,1.2,0.3,0.3,7.0,5.5,81.8,2022,Venango,Crawford
