tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
012400,049,2020,"Census Tract 124, Erie County, Pennsylvania",1542,45.5,83.5,2.1,0.8,3.8,9.8,1288,32,12,58,1542
990000,049,2020,"Census Tract 9900, Erie County, Pennsylvania",0,-666666666.0,,,,,,0,0,0,0,0
110100,039,2020,"Census Tract 1101, Crawford County, Pennsylvania",6181,33.3,97.7,0.6,0.6,0.1,1.0,6041,38,36,8,6181
110201,039,2020,"Census Tract 1102.01, Crawford County, Pennsylvania",3783,44.2,96.4,0.6,1.5,0.0,1.5,3645,22,58,0,3783
110202,039,2020,"Census Tract 1102.02, Crawford County, Pennsylvania",4589,37.3,89.0,4.4,3.5,0.8,2.3,4085,201,160,38,4589
110300,039,2020,"Census Tract 1103, Crawford County, Pennsylvania",4360,43.3,96.4,1.0,0.9,0.1,1.6,4203,44,40,5,4360
110400,039,2020,"Census Tract 1104, Crawford County, Pennsylvania",2731,44.5,96.3,0.0,1.6,0.3,1.8,2631,0,45,7,2731
110501,039,2020,"Census Tract 1105.01, Crawford County, Pennsylvania",2223,37.5,96.7,0.0,2.2,0.6,0.5,2149,0,50,13,2223
110502,039,2020,"Census Tract 1105.02, Crawford County, Pennsylvania",3172,49.3,98.8,0.1,0.8,0.0,0.3,3134,4,24,0,3172
110600,039,2020,"Census Tract 1106, Crawford County, Pennsylvania",2834,48.4,95.6,0.0,1.1,0.2,3.1,2710,0,31,5,2834
110700,039,2020,"Census Tract 1107, Crawford County, Pennsylvania",4052,42.7,95.8,0.8,1.3,0.3,1.8,3880,33,51,13,4052
110800,039,2020,"Census Tract 1108, Crawford County, Pennsylvania",4652,45.8,96.6,0.7,0.9,0.5,1.3,4493,33,42,22,4652
110900,039,2020,"Census Tract 1109, Crawford County, Pennsylvania",3046,50.3,89.2,0.6,0.8,0.0,9.4,2718,17,24,1,3046
111000,039,2020,"Census Tract 1110, Crawford County, Pennsylvania",2669,42.1,96.7,1.2,1.2,0.2,0.7,2581,33,31,6,2669
111100,039,2020,"Census Tract 1111, Crawford County, Pennsylvania",2992,44.6,95.4,2.4,1.2,0.7,0.3,2855,73,37,21,2992
111200,039,2020,"Census Tract 1112, Crawford County, Pennsylvania",2208,36.5,97.6,0.5,1.0,1.0,-0.1,2155,10,22,21,2208
111300,039,2020,"Census Tract 1113, Crawford County, Pennsylvania",5412,44.1,96.0,0.7,0.6,0.3,2.4,5194,36,33,16,5412
111400,039,2020,"Census Tract 1114, Crawford County, Pennsylvania",4638,42.3,96.5,0.7,1.7,0.3,0.8,4477,31,81,16,4638
111500,039,2020,"Census Tract 1115, Crawford County, Pennsylvania",5226,41.7,88.7,5.5,1.1,0.1,4.6,4637,287,60,5,5226
111600,039,2020,"Census Tract 1116, Crawford County, Pennsylvania",3326,39.3,88.7,2.4,1.8,0.3,6.8,2949,80,59,11,3326
111700,039,2020,"Census Tract 1117, Crawford County, Pennsylvania",4529,28.3,82.9,6.4,4.2,1.7,4.8,3756,290,191,79,4529
111800,039,2020,"Census Tract 1118, Crawford County, Pennsylvania",5398,52.9,95.6,0.0,0.4,2.2,1.8,5160,0,23,118,5398
111900,039,2020,"Census Tract 1119, Crawford County, Pennsylvania",3341,38.4,98.3,0.0,0.3,0.1,1.3,3284,0,9,3,3341
