tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
011511,2020,,,7.9,4.5,1.5,51.1,5.2
011511,2021,,,14.1,4.2,0.4,41.8,8.1
011511,2022,,,14.6,5.2,0.8,43.6,9.6
011511,2023,,,10.6,5.1,2.7,64.0,9.1
011600,2020,13.5,550.0,4.7,5.0,4.3,46.8,18.8
011600,2021,16.7,690.0,9.8,2.8,2.8,48.1,18.6
011600,2022,19.1,780.0,10.1,2.2,1.0,50.9,18.1
011600,2023,19.3,780.0,8.5,2.2,1.6,53.7,20.0
011701,2020,3.2,90.0,0.9,4.0,5.7,81.8,10.5
011701,2021,3.5,110.0,0.8,4.7,7.0,81.5,10.6
011701,2022,8.8,280.0,3.1,1.8,3.4,82.8,11.0
011701,2023,10.3,310.0,3.8,1.2,3.5,84.5,12.8
011702,2020,7.1,380.0,7.3,1.8,3.5,91.5,15.9
011702,2021,6.5,360.0,5.9,1.8,3.9,92.8,17.0
011702,2022,10.5,560.0,3.7,1.9,4.6,91.5,20.8
011702,2023,11.7,640.0,3.5,2.0,4.3,92.8,22.4
011801,2020,7.6,220.0,5.5,0.5,1.6,83.1,13.6
011801,2021,7.2,200.0,5.4,0.5,1.4,83.3,13.9
011801,2022,11.2,320.0,4.1,0.3,1.3,86.3,16.5
011801,2023,10.6,290.0,2.8,0.1,1.3,88.8,14.1
011802,2020,6.5,190.0,1.5,0.4,0.3,84.1,16.7
011802,2021,7.3,210.0,2.8,0.4,0.7,82.7,17.5
011802,2022,10.5,290.0,3.3,0.4,1.0,85.4,16.3
011802,2023,11.9,320.0,2.6,0.1,1.3,88.2,15.1
011900,2020,17.3,1090.0,8.8,6.5,1.9,64.0,24.3
011900,2021,19.9,1240.0,11.0,6.1,3.4,64.5,23.0
011900,2022,21.9,1360.0,10.5,2.7,3.6,67.4,21.3
011900,2023,25.5,1570.0,13.7,2.9,5.4,66.0,21.1
012001,2020,8.5,230.0,9.1,0.0,3.3,91.0,14.5
012001,2021,8.1,210.0,9.4,0.2,2.8,93.3,12.7
012001,2022,11.9,300.0,10.0,0.0,3.4,93.9,12.9
012001,2023,12.7,320.0,9.8,0.0,3.0,93.7,14.2
012002,2020,16.4,520.0,5.4,1.1,3.1,63.2,19.4
012002,2021,16.1,480.0,7.5,2.0,3.6,58.2,20.8
012002,2022,21.2,620.0,7.5,2.7,3.6,56.9,26.5
012002,2023,22.2,650.0,7.9,2.8,4.9,53.4,27.2
012100,2020,6.9,500.0,2.8,0.9,2.6,81.3,13.2
012100,2021,8.4,580.0,5.0,1.1,3.7,80.3,13.4
012100,2022,11.4,820.0,5.7,1.2,5.4,81.3,12.3
012100,2023,12.7,930.0,5.5,0.4,3.6,82.1,13.2
012201,2020,7.2,430.0,4.8,1.0,2.8,88.6,12.4
012201,2021,7.9,460.0,5.7,1.4,3.1,90.8,13.6
012201,2022,10.7,640.0,5.8,1.3,3.1,89.9,11.5
012201,2023,11.7,720.0,7.0,1.4,2.7,88.9,11.6
012202,2020,,,2.0,2.6,1.9,39.4,12.9
012202,2021,,,2.0,2.4,0.9,43.6,14.7
012202,2022,,,2.2,2.2,2.1,44.0,14.4
012202,2023,,,1.0,2.8,3.5,43.0,14.9
012400,2020,9.9,150.0,5.1,11.2,0.8,60.5,15.6
012400,2021,10.1,150.0,5.5,11.2,1.0,59.7,16.5
012400,2022,12.9,170.0,4.2,11.0,1.5,56.2,16.9
012400,2023,14.0,180.0,2.7,9.0,1.2,56.0,18.7
990000,2020,,,5.9,0.0,0.0,64.7,13.4
990000,2021,,,6.0,0.0,0.0,65.0,13.4
990000,2022,,,,,,,
990000,2023,,,,,,,
