ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16428,16428,2020,North East,Erie,63616.0,12313,39.9,PA,9.3,15.5,12.9,5.5,91.0,1.6,4.4,0.3,2.7,5.0,72.2,15.5
16433,16433,2020,Saegertown,Crawford,60032.0,5193,43.4,PA,6.3,15.3,4.8,8.3,96.0,0.6,0.8,0.3,2.3,2.1,80.7,12.0
16434,16434,2020,Spartansburg,Crawford,48224.0,3228,28.1,PA,24.6,6.9,11.8,24.3,97.5,1.2,0.8,0.0,0.5,6.5,86.6,11.4
16435,16435,2020,Springboro,Crawford,51550.0,1806,42.7,PA,15.7,8.7,12.9,11.1,94.5,0.7,1.7,0.5,2.6,5.4,78.3,17.2
16436,16436,2020,Spring Creek,Warren,39938.0,859,35.9,PA,25.1,12.5,0.0,3.5,98.6,0.2,0.0,0.0,1.2,12.5,80.6,15.2
16438,16438,2020,Union City,Crawford,53032.0,7588,46.7,PA,14.8,12.0,17.8,9.6,96.1,0.1,2.6,0.3,0.9,6.7,77.5,19.3
16440,16440,2020,Venango,Crawford,60263.0,850,47.5,PA,6.9,15.8,3.0,6.1,94.0,0.7,0.7,0.2,4.4,6.0,82.3,7.1
16441,16441,2020,Waterford,Crawford,69527.0,10069,46.0,PA,6.8,15.5,16.7,4.6,96.4,0.2,1.9,0.3,1.2,2.9,85.0,10.9
16442,16442,2020,Wattsburg,Erie,64256.0,3334,36.8,PA,7.1,14.2,4.4,4.1,95.5,0.2,2.4,0.5,1.4,5.1,84.8,10.3
16443,16443,2020,West Springfield,Erie,49438.0,1166,36.6,PA,9.3,8.7,100.0,2.0,90.9,1.3,0.9,0.0,6.9,5.3,92.2,11.5
16444,16444,2020,Edinboro,Erie,,1022,19.5,PA,,0.0,,,82.3,10.8,2.5,1.2,3.2,6.0,,
