TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
110800,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,1,21,6675.908662699748,4.15,13864.32969213948,8.61,13738.526548514043,8.54,11624.991530468897,7.22,13676.55250724873,8.5,13184.803493425668,8.19,12503.32438330108,7.77
111200,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,1,2,10,816.4291753306028,0.51,21267.074603997364,13.21,324.0666467751784,0.2,978.0636366832888,0.61,32287.981345000513,20.06,9374.146928643757,5.82,547.5191374071031,0.34
110900,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,1,15,3973.9289362183085,2.47,19015.31713663573,11.82,14043.895199833776,8.73,12919.19412394509,8.03,22611.215206216762,14.05,7133.032395632522,4.43,13730.979635533397,8.53
111500,0,0,1,0,2,0,0,2,3,1,0,0,6,0,0,3,5,20,526.3233638936862,0.33,723.8953056829009,0.45,827.8501856471839,0.51,534.0566403465144,0.33,941.990392472725,0.59,1857.4133312424299,1.15,1212.0151927906115,0.75
110202,0,0,0,0,1,0,0,2,0,0,0,1,6,0,0,1,3,19,7097.176413669762,4.41,14585.517005468537,9.06,22224.692973931782,13.81,14516.213582322433,9.02,5762.248071071824,3.58,13179.184817406056,8.19,14959.623211109967,9.3
110502,1,0,0,2,1,0,0,2,0,0,0,0,2,0,0,4,6,10,2064.526319643362,1.28,11755.502331045745,7.3,12420.762740262682,7.72,4900.111225535444,3.04,12058.125264824079,7.49,11155.230374673582,6.93,11702.940275943776,7.27
112002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1929.9108879627252,1.2,26273.473130419574,16.33,26989.17211269783,16.77,18357.79152589694,11.41,26602.89609224476,16.53,25556.72846396579,15.88,26226.677880968135,16.3
110201,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,1,10,7392.038245902796,4.59,8258.761034078792,5.13,18181.451671811683,11.3,8283.5694081218,5.15,8080.210996943035,5.02,7779.756798324704,4.83,10023.651707504074,6.23
110501,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,4,2830.0654037919903,1.76,16610.249500329348,10.32,17292.21527303988,10.74,9122.333772187485,5.67,16921.995462397794,10.51,15966.57285467942,9.92,16559.485267079664,10.29
112001,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6889.042462854452,4.28,27939.152807872666,17.36,28735.573438848583,17.86,19820.86850757775,12.32,28311.4498782509,17.59,27038.064127792713,16.8,27909.03402904303,17.34
012400,4,0,0,0,2,0,0,1,1,1,7,0,4,0,0,6,8,29,2398.908176673643,1.49,2872.3037306528345,1.78,2531.360314060125,1.57,2676.0755174346928,1.66,2393.9256025437317,1.49,3297.5611870981634,2.05,2119.6268412030067,1.32
